event_id,time,cluster_id
1,365.749,1
2,377.016,2
3,763.079,1
4,777.448,2
5,980.05,0
6,997.758,3
7,1360.431,0
8,1375.864,2
9,1586.612,0
10,1598.016,1
11,1867.008,3
12,1884.129,4
13,2218.656,1
14,2234.53,4
15,2520.949,0
16,2529.676,2
17,2842.776,1
18,2849.542,4
19,3228.174,0
20,3241.754,3
21,3603.695,1
22,3613.949,4
23,4026.916,1
24,4043.634,2
25,4410.446,0
26,4418.782,2
27,4710.795,0
28,4717.32,1
29,4934.35,2
30,4948.546,4
31,5307.289,2
32,5324.899,4
33,5583.097,0
34,5593.543,2
35,5886.236,1
36,5894.51,2
37,6105.691,2
38,6117.4,3
39,6351.858,0
40,6365.896,1
41,6650.812,2
42,6666.804,4
43,7014.868,0
44,7024.616,3
45,7404.359,2
46,7420.016,3
47,7693.011,3
48,7702.471,4
49,8046.269,2
50,8053.946,4
51,8281.924,1
52,8288.013,4
53,8656.875,1
54,8670.853,4
55,9020.093,1
56,9035.461,2
57,9325.601,1
58,9338.426,2
59,9551.977,2
60,9559.352,4
61,9899.768,3
62,9911.421,4
63,10227.078,2
64,10242.258,3
65,10574.591,2
66,10587.233,3
67,10901.443,3
68,10911.091,4
69,11098.487,0
70,11109.727,2
71,11341.228,3
72,11352.13,4
73,11736.947,3
74,11745.754,4
75,11939.747,0
76,11949.123,1
77,12199.586,1
78,12213.529,4
79,12527.217,2
80,12542.623,3
81,12882.059,0
82,12892.935,1
83,13268.3,2
84,13276.304,3
85,13461.755,0
86,13468.835,1
87,13822.202,0
88,13833.744,2
89,14052.449,0
90,14064.462,3
91,14281.017,0
92,14295.373,3
93,14582.45,0
94,14593.022,3
95,14845.385,0
96,14858.949,1
97,15125.784,0
98,15132.836,2
99,15341.157,2
100,15358.7,4
