event_id,Alarm Text,time
e0,alarm_2,458.968
e1,alarm_6,474.868
e2,alarm_5,956.689
e3,alarm_7,977.242
e4,alarm_2,1252.67
e5,alarm_5,1278.231
e6,alarm_2,1733.739
e7,alarm_4,1755.888
e8,alarm_6,2040.479
e9,alarm_7,2056.586
e10,alarm_4,2406.701
e11,alarm_5,2431.383
e12,alarm_1,2855.226
e13,alarm_4,2878.036
e14,alarm_0,3247.758
e15,alarm_3,3259.848
e16,alarm_3,3659.586
e17,alarm_4,3668.735
e18,alarm_1,4142.195
e19,alarm_2,4161.565
e20,alarm_1,4616.249
e21,alarm_3,4630.63
e22,alarm_0,5142.719
e23,alarm_1,5166.795
e24,alarm_0,5626.959
e25,alarm_2,5638.462
e26,alarm_3,6014.477
e27,alarm_6,6023.265
e28,alarm_0,6377.267
e29,alarm_1,6916.334
e30,alarm_2,7477.0
e31,alarm_3,8115.629
e32,alarm_4,8529.668
e33,alarm_0,8959.329
e34,alarm_1,9423.673
e35,alarm_2,9789.988
e36,alarm_3,10135.461
e37,alarm_4,10601.957
e38,alarm_0,10981.376
e39,alarm_1,11515.811
e40,alarm_2,11968.814
e41,alarm_3,12560.251
e42,alarm_4,13105.344
e43,alarm_0,13514.672
e44,alarm_1,14105.963
e45,alarm_2,14687.631
e46,alarm_3,15123.248
e47,alarm_4,15524.163
e48,alarm_0,16063.036
e49,alarm_1,16411.95
