event_id,Alarm Text,Set,time,cluster_id_true,cause_event_id_true
1,ALARM50012-Feed suction transient train 2.,1/1/26 8:07:38,458.968,0,-1
2,ALARM52032-Catalyst feeder oscillation unit 1.,1/1/26 8:07:54,474.868,2,1
3,ALARM53041-Agitator vibration spike vessel 4.,1/1/26 8:15:56,956.689,3,-1
4,ALARM56072-Composition jump stream 3.,1/1/26 8:16:17,977.242,6,3
5,ALARM53042-Agitator motor oscillation vessel 1.,1/1/26 8:20:52,1252.67,3,-1
6,ALARM56072-Composition jump stream 2.,1/1/26 8:21:18,1278.231,6,5
7,ALARM50012-Feed suction transient train 1.,1/1/26 8:28:53,1733.739,0,-1
8,ALARM51022-Heat balance mismatch unit 1.,1/1/26 8:29:15,1755.888,1,7
9,ALARM50011-Feed pressure ripple train 3.,1/1/26 8:34:00,2040.479,0,-1
10,ALARM52032-Catalyst feeder oscillation unit 1.,1/1/26 8:34:16,2056.586,2,9
11,ALARM51022-Heat balance mismatch unit 3.,1/1/26 8:40:06,2406.701,1,-1
12,ALARM53041-Agitator vibration spike vessel 3.,1/1/26 8:40:31,2431.383,3,11
13,ALARM50012-Feed suction transient train 4.,1/1/26 8:47:35,2855.226,0,-1
14,ALARM53042-Agitator motor oscillation vessel 4.,1/1/26 8:47:58,2878.036,3,13
15,ALARM52032-Catalyst feeder oscillation unit 2.,1/1/26 8:54:07,3247.758,2,-1
16,ALARM55061-Reboiler duty deviation loop 4.,1/1/26 8:54:19,3259.848,5,15
17,ALARM52032-Catalyst feeder oscillation unit 2.,1/1/26 9:00:59,3659.586,2,-1
18,ALARM56072-Composition jump stream 4.,1/1/26 9:01:08,3668.735,6,17
19,ALARM53041-Agitator vibration spike vessel 3.,1/1/26 9:09:02,4142.195,3,-1
20,ALARM54052-Column deltaP surge section 2.,1/1/26 9:09:21,4161.565,4,19
21,ALARM51022-Heat balance mismatch unit 3.,1/1/26 9:16:56,4616.249,1,-1
22,ALARM53042-Agitator motor oscillation vessel 4.,1/1/26 9:17:10,4630.63,3,21
23,ALARM50012-Feed suction transient train 2.,1/1/26 9:25:42,5142.719,0,-1
24,ALARM51022-Heat balance mismatch unit 2.,1/1/26 9:26:06,5166.795,1,23
25,ALARM53041-Agitator vibration spike vessel 3.,1/1/26 9:33:46,5626.959,3,-1
26,ALARM56072-Composition jump stream 1.,1/1/26 9:33:58,5638.462,6,25
27,ALARM50011-Feed pressure ripple train 3.,1/1/26 9:40:14,6014.477,0,-1
28,ALARM52031-Catalyst dosing deviation unit 2.,1/1/26 9:40:23,6023.265,2,27
29,ALARM55061-Reboiler duty deviation loop 1.,1/1/26 9:45:14,6314.923,5,-1
30,ALARM57081-SIS recovery sequence initiated.,1/1/26 9:45:35,6335.218,7,29
31,ALARM51022-Heat balance mismatch unit 1.,1/1/26 9:53:06,6786.304,1,-1
32,ALARM53042-Agitator motor oscillation vessel 4.,1/1/26 9:53:31,6811.719,3,31
33,ALARM55061-Reboiler duty deviation loop 4.,1/1/26 9:59:09,7149.692,5,-1
34,ALARM57082-Interlock recovery latch engaged.,1/1/26 9:59:24,7164.36,7,33
35,ALARM50011-Feed pressure ripple train 2.,1/1/26 10:05:41,7541.14,0,-1
36,ALARM52031-Catalyst dosing deviation unit 1.,1/1/26 10:05:52,7552.551,2,35
37,ALARM50012-Feed suction transient train 2.,1/1/26 10:10:37,7837.63,0,-1
38,ALARM53041-Agitator vibration spike vessel 4.,1/1/26 10:10:54,7854.192,3,37
39,ALARM50011-Feed pressure ripple train 2.,1/1/26 10:16:05,8165.458,0,-1
40,ALARM51021-Reactor temperature drift unit 4.,1/1/26 10:16:25,8185.515,1,39
41,ALARM51021-Reactor temperature drift unit 4.,1/1/26 10:22:33,8553.546,1,-1
42,ALARM52032-Catalyst feeder oscillation unit 4.,1/1/26 10:22:56,8576.534,2,41
43,ALARM51022-Heat balance mismatch unit 4.,1/1/26 10:30:15,9015.605,1,-1
44,ALARM52031-Catalyst dosing deviation unit 4.,1/1/26 10:30:29,9029.228,2,43
45,ALARM52032-Catalyst feeder oscillation unit 3.,1/1/26 10:38:23,9503.938,2,-1
46,ALARM55061-Reboiler duty deviation loop 3.,1/1/26 10:38:46,9526.424,5,45
47,ALARM50012-Feed suction transient train 2.,1/1/26 10:44:41,9881.043,0,-1
48,ALARM52032-Catalyst feeder oscillation unit 4.,1/1/26 10:44:54,9894.233,2,47
49,ALARM52031-Catalyst dosing deviation unit 3.,1/1/26 10:52:08,10328.507,2,-1
50,ALARM54051-Column pressure bump section 3.,1/1/26 10:52:19,10339.022,4,49
51,ALARM52032-Catalyst feeder oscillation unit 3.,1/1/26 10:57:22,10642.997,2,-1
52,ALARM56071-Analyzer outlier stream 2.,1/1/26 10:57:31,10651.13,6,51
53,ALARM51021-Reactor temperature drift unit 2.,1/1/26 11:05:13,11113.6,1,-1
54,ALARM53042-Agitator motor oscillation vessel 2.,1/1/26 11:05:33,11133.567,3,53
55,ALARM52031-Catalyst dosing deviation unit 1.,1/1/26 11:12:53,11573.962,2,-1
56,ALARM56072-Composition jump stream 4.,1/1/26 11:13:16,11596.015,6,55
57,ALARM50012-Feed suction transient train 4.,1/1/26 11:19:29,11969.922,0,-1
58,ALARM52032-Catalyst feeder oscillation unit 1.,1/1/26 11:19:48,11988.159,2,57
59,ALARM50011-Feed pressure ripple train 4.,1/1/26 11:24:35,12275.904,0,-1
60,ALARM53042-Agitator motor oscillation vessel 1.,1/1/26 11:24:45,12285.966,3,59
61,ALARM54052-Column deltaP surge section 4.,1/1/26 11:31:56,12716.435,4,-1
62,ALARM55061-Reboiler duty deviation loop 3.,1/1/26 11:32:12,12732.915,5,61
63,ALARM56072-Composition jump stream 4.,1/1/26 11:38:55,13135.528,6,-1
64,ALARM57082-Interlock recovery latch engaged.,1/1/26 11:39:17,13157.298,7,63
65,ALARM51022-Heat balance mismatch unit 2.,1/1/26 11:46:18,13578.672,1,-1
66,ALARM54052-Column deltaP surge section 4.,1/1/26 11:46:36,13596.637,4,65
67,ALARM52032-Catalyst feeder oscillation unit 1.,1/1/26 11:53:17,13997.623,2,-1
