alarm_id,device_id,start_timestamp
2,0,187.528
0,0,209.352
8,0,247.486
4,0,263.422
1,0,282.15
15,0,547.412
3,0,556.259
10,0,628.976
4,0,631.653
11,0,677.278
8,0,812.321
1,0,842.6
9,0,849.379
15,0,850.375
2,0,876.747
4,0,889.89
12,0,910.029
6,0,917.341
3,0,950.931
10,0,1078.637
4,0,1125.258
2,0,1157.79
11,0,1157.79
4,0,1160.243
12,0,1162.583
1,0,1261.191
6,0,1261.191
5,0,1261.191
15,0,1281.392
14,0,1296.711
0,0,1321.82
7,0,1327.544
8,0,1329.615
3,0,1352.978
1,0,1362.404
15,0,1368.604
9,0,1410.2
10,0,1449.617
4,0,1492.704
11,0,1549.445
5,0,1610.364
13,0,1630.82
0,0,1643.748
8,0,1644.303
1,0,1648.417
7,0,1655.961
15,0,1760.069
3,0,2205.918
2,0,2249.874
12,0,2259.515
4,0,2262.532
11,0,2267.963
5,0,2326.78
13,0,2427.279
7,0,2545.394
5,0,2959.565
13,0,3079.713
7,0,3161.456
0,0,3207.673
0,0,3282.288
8,0,3321.873
1,0,3371.731
15,0,3375.955
9,0,3386.372
3,0,3479.147
10,0,3536.197
2,0,3608.092
4,0,3617.158
12,0,3628.183
11,0,3672.208
5,0,3687.887
0,0,3698.372
8,0,3701.461
1,0,3702.805
2,0,3836.7
3,0,3866.818
10,0,3879.83
4,0,3952.712
2,0,4053.484
4,0,4059.868
12,0,4067.653
11,0,4072.639
5,0,4076.751
14,0,4116.029
1,0,4356.457
7,0,4356.457
15,0,4451.369
3,0,4657.86
10,0,4708.368
4,0,4748.939
11,0,4766.026
11,0,4766.026
5,0,4773.643
5,0,4776.227
13,0,4796.305
7,0,4828.723
13,0,4846.898
7,0,4900.517
6,0,5068.98
14,0,5159.206
7,0,5174.536
5,0,5267.311
13,0,5276.351
7,0,5307.64
3,0,5313.144
0,0,5388.934
8,0,5390.138
1,0,5457.238
9,0,5492.853
2,0,5523.487
12,0,5567.279
6,0,5570.325
4,0,5576.837
15,0,5583.579
11,0,5605.058
5,0,5618.289
3,0,5739.542
10,0,5807.9
4,0,5818.775
11,0,5886.392
1,0,5947.161
2,0,5984.001
5,0,5984.001
9,0,5984.001
4,0,5984.915
14,0,5988.741
11,0,6009.254
13,0,6099.96
5,0,6194.074
1,0,6411.277
2,0,6411.277
13,0,6411.277
12,0,6414.663
7,0,6426.238
9,0,6440.757
6,0,6458.57
4,0,6488.833
11,0,6500.898
2,0,6526.06
4,0,6540.169
7,0,6688.35
13,0,6748.025
12,0,6748.025
7,0,6771.864
6,0,6817.802
14,0,6860.678
0,0,6884.288
8,0,6914.278
1,0,6949.126
7,0,6980.792
15,0,7029.859
3,0,7162.344
1,0,7241.814
15,0,7433.244
3,0,7748.287
10,0,7794.309
1,0,7903.801
4,0,7903.801
11,0,7909.677
5,0,7966.642
15,0,7992.48
9,0,8011.398
2,0,8021.396
4,0,8030.111
3,0,8056.353
10,0,8297.875
4,0,8313.184
14,0,8347.824
11,0,8347.824
5,0,8358.558
0,0,8392.724
13,0,8392.724
7,0,8401.074
5,0,8454.444
7,0,8477.102
7,0,8477.102
8,0,8477.102
0,0,8612.043
1,0,8612.043
8,0,8620.779
3,0,8671.45
9,0,8671.45
1,0,8671.45
13,0,8671.45
10,0,8760.583
15,0,8842.116
12,0,8842.116
3,0,8845.959
10,0,8950.525
0,0,8984.741
4,0,8999.932
8,0,9003.395
4,0,9161.399
7,0,9273.196
7,0,9304.304
0,0,9309.015
7,0,9453.885
3,0,9501.157
10,0,9673.125
2,0,9837.436
4,0,9837.436
12,0,9843.928
4,0,9853.395
6,0,9888.954
11,0,9943.088
5,0,9959.485
13,0,10034.414
7,0,10074.624
14,0,10094.626
7,0,10248.144
0,0,10265.36
8,0,10270.872
8,0,10274.834
1,0,10277.622
1,0,10282.866
15,0,10299.908
15,0,10306.947
0,0,10306.947
8,0,10307.24
9,0,10335.63
1,0,10346.953
3,0,10356.676
2,0,10366.478
12,0,10371.276
4,0,10394.132
15,0,10405.76
9,0,10413.735
2,0,10461.201
4,0,10463.6
12,0,10464.084
6,0,10468.237
11,0,10484.394
5,0,10502.112
13,0,10556.408
7,0,10559.659
3,0,10733.042
3,0,10761.035
10,0,10766.213
0,0,10841.901
8,0,10912.204
1,0,10918.453
9,0,10929.259
7,0,11177.902
15,0,11177.902
2,0,11177.902
12,0,11183.04
4,0,11212.809
11,0,11219.8
6,0,11221.162
5,0,11273.506
13,0,11329.55
7,0,11357.56
3,0,11370.67
10,0,11420.012
0,0,11490.388
8,0,11501.363
1,0,11511.756
9,0,11516.713
15,0,11536.348
5,0,11581.114
2,0,11605.808
13,0,11610.176
12,0,11616.647
6,0,11637.582
7,0,11861.696
14,0,11861.696
5,0,11861.696
4,0,11861.696
3,0,11861.696
10,0,11871.977
7,0,11903.261
5,0,11983.056
11,0,11983.056
0,0,12069.898
4,0,12069.898
13,0,12069.898
5,0,12069.898
7,0,12076.68
14,0,12090.804
8,0,12134.405
7,0,12142.645
1,0,12163.274
1,0,12275.753
13,0,12275.753
9,0,12275.753
13,0,12275.753
15,0,12275.753
15,0,12280.936
7,0,12298.849
6,0,12376.601
3,0,12376.601
2,0,12376.601
9,0,12396.583
4,0,12406.692
12,0,12418.606
3,0,12419.636
6,0,12422.368
5,0,12445.301
2,0,12454.95
13,0,12462.021
14,0,12464.266
7,0,12472.507
4,0,12495.497
12,0,12515.592
7,0,12549.4
14,0,12551.91
7,0,12598.182
11,0,12604.778
5,0,12631.5
13,0,12680.004
7,0,12695.541
7,0,12709.588
12,0,12709.588
2,0,12896.864
4,0,12907.159
12,0,12932.729
6,0,13003.609
14,0,13041.054
11,0,13089.316
7,0,13100.441
5,0,13148.795
13,0,13207.359
7,0,13232.517
5,0,13316.999
13,0,13331.0
7,0,13424.157
0,0,13628.882
8,0,13643.285
1,0,13748.424
15,0,13987.629
3,0,14024.898
12,0,14030.404
15,0,14051.057
6,0,14056.86
14,0,14133.52
7,0,14172.027
0,0,14282.706
0,0,14421.277
8,0,14446.413
1,0,14447.865
15,0,14475.038
7,0,14520.599
11,0,14537.433
5,0,14655.694
13,0,14661.48
7,0,14662.18
4,0,14675.423
0,0,15156.613
8,0,15193.303
1,0,15195.365
7,0,15350.441
8,0,15526.003
15,0,15526.003
3,0,15535.464
0,0,15599.743
8,0,15612.041
1,0,15666.954
15,0,15849.929
0,0,15941.142
8,0,15970.082
1,0,15977.149
15,0,15993.574
9,0,16042.6
2,0,16145.39
4,0,16152.76
11,0,16158.078
4,0,16160.515
11,0,16188.118
5,0,16207.399
13,0,16221.967
5,0,16390.076
13,0,16443.36
7,0,16552.333
7,0,16690.876
4,0,16955.114
13,0,16969.032
5,0,17234.23
7,0,17234.23
13,0,17272.641
7,0,17362.428
3,0,17368.175
10,0,17399.346
4,0,17409.197
0,0,17413.932
1,0,17416.206
9,0,17432.305
15,0,17502.855
2,0,17631.153
12,0,17660.248
4,0,17703.448
4,0,17703.448
11,0,17736.99
2,0,17757.95
5,0,17757.95
12,0,17760.001
6,0,17774.961
6,0,17779.587
14,0,17898.201
7,0,17907.863
7,0,17914.584
2,0,17939.053
4,0,17958.617
3,0,18057.929
10,0,18216.938
4,0,18224.1
11,0,18267.362
5,0,18290.695
13,0,18342.909
7,0,18667.571
8,0,18709.781
1,0,18725.52
9,0,18734.18
2,0,18735.886
1,0,18751.193
12,0,18751.193
9,0,18767.657
2,0,18769.755
6,0,18771.657
4,0,18785.523
15,0,18803.146
11,0,18814.203
12,0,18828.629
6,0,18846.164
3,0,18849.235
14,0,18921.153
5,0,18937.49
13,0,18968.955
14,0,19084.104
7,0,19106.68
7,0,19119.81
7,0,19186.63
5,0,19266.69
13,0,19267.758
7,0,19297.002
0,0,19314.595
8,0,19325.679
1,0,19332.008
9,0,19358.296
15,0,19361.974
2,0,19407.004
4,0,19415.63
12,0,19432.891
3,0,19434.594
2,0,19526.308
4,0,19533.617
12,0,19552.776
6,0,19597.646
0,0,19601.363
8,0,19626.319
1,0,19633.637
9,0,19714.693
2,0,19731.169
15,0,19743.603
5,0,19854.513
4,0,19854.513
12,0,19854.513
3,0,19854.513
9,0,19900.283
11,0,19900.283
9,0,20018.869
6,0,20018.869
13,0,20018.869
9,0,20120.665
10,0,20120.665
5,0,20120.665
4,0,20126.145
2,0,20165.396
4,0,20170.488
12,0,20177.084
13,0,20182.145
6,0,20209.729
14,0,20213.856
7,0,20227.134
11,0,20234.667
2,0,20267.241
4,0,20276.538
5,0,20276.858
12,0,20280.521
14,0,20297.355
7,0,20299.997
7,0,20586.479
6,0,20649.276
15,0,20712.227
3,0,20787.599
10,0,20888.822
4,0,20915.683
11,0,20958.52
5,0,21062.899
13,0,21383.711
7,0,21425.861
0,0,21694.586
2,0,21765.45
4,0,21792.911
11,0,21870.292
5,0,21897.105
13,0,22203.997
7,0,22266.199
6,0,22380.23
14,0,22437.01
7,0,22488.602
